#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.groeplazrak;nl.p.groepnawijn;nl.p.groepwilders;nl.p.lpf;nl.p.osf;nl.p.pvda;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2004-2005;36;2004-12-16;29800-VIII;141;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-VIII-141.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2403-2404.1.34.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2403-2404?view=html#nl.proc.ob.d.h-tk-20042005-2403-2404.1.34.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2403-2404.html;no;no;no;aye;aye;;no;no;;aye;no;aye;no;Vergeer;nl.m.02344;Leerdam;nl.m.02403;de motie-Vergeer/Leerdam over het beschikbaar stellen van financiële middelen voor Dogtroep ( 29800-VIII, nr. 141)
commons;2004-2005;36;2004-12-16;29800;14;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-14.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2404-2404-1.1.8.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2404-2404-1?view=html#nl.proc.ob.d.h-tk-20042005-2404-2404-1.1.8.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2404-2404-1.html;no;no;aye;aye;aye;;no;no;;aye;no;aye;no;Dittrich;nl.m.02512;;;amendement-Dittrich (stuk nr. 14)
commons;2004-2005;36;2004-12-16;29800;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/29800;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2404-2404-1.1.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2404-2404-1?view=html#nl.proc.ob.d.h-tk-20042005-2404-2404-1.1.13.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2404-2404-1.html;aye;aye;aye;aye;aye;;aye;aye;;aye;aye;aye;aye;;;;;Vaststelling van de begrotingsstaat van het Ministerie van Financiën (IXB) voor het jaar 2005 ( 29800-IXB)
commons;2004-2005;36;2004-12-16;29800;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/29800;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2404-2404-2.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2404-2404-2?view=html#nl.proc.ob.d.h-tk-20042005-2404-2404-2.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2404-2404-2.html;aye;aye;aye;aye;aye;;aye;aye;;aye;aye;aye;aye;;;;;Vaststelling van de begrotingsstaat van het BTW-compensatiefonds (G) voor het jaar 2005 ( 29800-G)
commons;2004-2005;36;2004-12-16;29800;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/29800;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2404-2404.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2404-2404?view=html#nl.proc.ob.d.h-tk-20042005-2404-2404.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2404-2404.html;aye;aye;aye;aye;aye;;aye;aye;;aye;aye;aye;aye;;;;;Vaststelling van de begrotingsstaat van de Nationale Schuld (IXA) voor het jaar 2005 ( 29800-IXA)
commons;2004-2005;36;2004-12-16;29800;15;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-15.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2406-2406.1.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2406-2406?view=html#nl.proc.ob.d.h-tk-20042005-2406-2406.1.13.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2406-2406.html;no;aye;no;aye;aye;;no;aye;;aye;no;aye;no;Van Dam;nl.m.02464;Vendrik;nl.m.02245;amendement-Van Dam/Vendrik (stuk nr. 15, I)
commons;2004-2005;36;2004-12-16;29800;9;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-9.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2406-2406.1.17.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2406-2406?view=html#nl.proc.ob.d.h-tk-20042005-2406-2406.1.17.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2406-2406.html;no;aye;no;aye;aye;;no;no;;aye;no;aye;no;Vendrik;nl.m.02245;Van Dam;nl.m.02464;amendement-Vendrik/Van Dam (stuk nr. 9)
commons;2004-2005;36;2004-12-16;29800;82;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-82.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2408-2409.1.23.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2408-2409?view=html#nl.proc.ob.d.h-tk-20042005-2408-2409.1.23.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2408-2409.html;no;aye;aye;aye;aye;;no;aye;;aye;aye;aye;no;Dijksma;nl.m.02510;Van der Ham;nl.m.02317;amendement-Dijksma/Van der Ham (stuk nr. 82)
commons;2004-2005;36;2004-12-16;29800;34;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-34.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2408-2409.1.28.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2408-2409?view=html#nl.proc.ob.d.h-tk-20042005-2408-2409.1.28.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2408-2409.html;no;aye;no;aye;aye;;no;no;;aye;aye;aye;no;Heemskerk;nl.m.02461;;;amendement-Heemskerk (stuk nr. 34, I)
commons;2004-2005;36;2004-12-16;29800;14;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-29800-14.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2408-2409.1.32.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20042005-2408-2409?view=html#nl.proc.ob.d.h-tk-20042005-2408-2409.1.32.1;https://zoek.officielebekendmakingen.nl/h-tk-20042005-2408-2409.html;no;aye;no;aye;aye;;no;no;;aye;no;aye;no;Kant;nl.m.02226;;;amendement-Kant (stuk nr. 14)
