#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.aov;nl.p.cd;nl.p.cda;nl.p.d66;nl.p.fractiebierman;nl.p.fractiehendriks;nl.p.gl;nl.p.gpv;nl.p.groephendriks;nl.p.groepnijpels;nl.p.ou55plus;nl.p.pvda;nl.p.rpf;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;1995-1996;86;1996-05-29;24571;53;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-24571-53.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-24571-53?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.46.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788?view=html#nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.46.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-86-5783-5788.html;aye;no;no;no;;;aye;aye;aye;aye;no;no;aye;aye;aye;no;Van der Vlies;nl.m.02682;;;amendement-Van der Vlies (stuk nr. 53, I)
commons;1995-1996;86;1996-05-29;24571;43;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-24571-43.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-24571-43?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.43.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788?view=html#nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.43.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-86-5783-5788.html;no;no;no;no;;;no;no;no;aye;no;no;no;no;no;no;Nijpels-Hezemans;nl.m.02530;;;amendement-Nijpels-Hezemans (stuk nr. 43, I)
commons;1995-1996;86;1996-05-29;24571;62;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-24571-62.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-24571-62?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.83.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788?view=html#nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.83.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-86-5783-5788.html;aye;no;aye;aye;;;aye;aye;no;aye;no;aye;aye;aye;no;aye;Remkes;nl.m.02991;;;amendement-Remkes c.s. (stuk nr. 62)
commons;1995-1996;86;1996-05-29;24571;49;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-24571-49.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-24571-49?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.86.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788?view=html#nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.86.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-86-5783-5788.html;aye;no;no;no;;;aye;no;aye;aye;no;no;aye;aye;aye;no;Van der Vlies;nl.m.02682;;;amendement-Van der Vlies (stuk nr. 49)
commons;1995-1996;86;1996-05-29;24571;25;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-24571-25.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-24571-25?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.89.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788?view=html#nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.89.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-86-5783-5788.html;aye;no;aye;aye;;;aye;aye;aye;aye;no;aye;aye;aye;aye;no;Stellingwerf;nl.m.02544;;;amendement-Stellingwerf (stuk nr. 25)
commons;1995-1996;86;1996-05-29;24571;31;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-24571-31.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-24571-31?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.92.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788?view=html#nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.92.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-86-5783-5788.html;aye;no;aye;no;;;aye;no;aye;aye;no;no;aye;aye;aye;no;Verhagen;nl.m.02920;;;amendement-Verhagen (stuk nr. 31)
commons;1995-1996;86;1996-05-29;24571;22;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-24571-22.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-24571-22?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.95.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788?view=html#nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.95.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-86-5783-5788.html;aye;no;aye;aye;;;aye;aye;aye;aye;aye;aye;aye;aye;aye;aye;Van Heemst;nl.m.02887;;;amendement-Van Heemst c.s. (stuk nr. 22)
commons;1995-1996;86;1996-05-29;24571;34;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-24571-34.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-24571-34?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.98.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788?view=html#nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.98.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-86-5783-5788.html;aye;no;aye;no;;;aye;no;aye;aye;no;no;no;no;aye;no;Verhagen;nl.m.02920;Oedayraj Singh Varma;nl.m.02532;amendement-Verhagen/Oedayraj Singh Varma (stuk nr. 34)
commons;1995-1996;86;1996-05-29;24571;52;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-24571-52.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-24571-52?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.101.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788?view=html#nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.101.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-86-5783-5788.html;aye;no;no;no;;;aye;no;aye;aye;no;no;aye;aye;aye;no;Van der Vlies;nl.m.02682;;;amendement-Van der Vlies (stuk nr. 52)
commons;1995-1996;86;1996-05-29;24571;57;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-24571-57.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-24571-57?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.104.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19951996-86-5783-5788?view=html#nl.proc.ob.d.h-tk-19951996-86-5783-5788.1.9.104.1;https://zoek.officielebekendmakingen.nl/h-tk-19951996-86-5783-5788.html;aye;no;no;aye;;;aye;no;aye;aye;no;aye;aye;aye;aye;no;Hoekema;nl.m.02520;;;amendement-Hoekema (stuk nr. 57)
