house	legislative-period	session-number	date of vote	dossier nummer	onder nummer	type	outcome	stemmings type	bron amendement op OB	link amendement HTML op PM	link stemming XML op PM	link stemming in context HTML op PM	bron stemming op OB	nl.p.cda	nl.p.cu	nl.p.d66	nl.p.gl	nl.p.groepeerdmansvanschijndel	nl.p.groeplazrak	nl.p.groepnawijn	nl.p.groepvanoudenallen	nl.p.groepwilders	nl.p.lpf	nl.p.osf	nl.p.pvda	nl.p.sgp	nl.p.sp	nl.p.vvd	indiener 1, naam volgens stemming	indiener 1, id volgens stemming	indiener 2, naam volgens stemming	indiener 2, id volgens stemming	titel document volgens stemming
commons	2005-2006	35	2005-12-15	30300 A	16	amendement	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300 A-16.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2431-2432.1.35.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2431-2432?view=html#nl.proc.ob.d.h-tk-20052006-2431-2432.1.35.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2431-2432.html	aye	aye	aye	aye		aye	aye		aye	no		aye	aye	no	aye	Van Hijum	nl.m.02442	Van der Ham	nl.m.02317	amendement-Van Hijum/Van der Ham (stuk nr. 16)
commons	2005-2006	35	2005-12-15	30300 A	14	amendement	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300 A-14.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2431-2432.1.32.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2431-2432?view=html#nl.proc.ob.d.h-tk-20052006-2431-2432.1.32.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2431-2432.html	no	aye	no	aye		aye	no		no	no		aye	no	aye	no	Gerkens	nl.m.02326			amendement-Gerkens (stuk nr. 14)
commons	2005-2006	35	2005-12-15	30300		wetsvoorstel	accepted	fractie	https://zoek.officielebekendmakingen.nl/dossier/30300		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2432-2433.1.12.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2432-2433?view=html#nl.proc.ob.d.h-tk-20052006-2432-2433.1.12.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2432-2433.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye					Vaststelling van de begrotingsstaat van het provinciefonds voor het jaar 2006 ( 30300 C)
commons	2005-2006	35	2005-12-15	30300		wetsvoorstel	accepted	fractie	https://zoek.officielebekendmakingen.nl/dossier/30300		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2433-2433-1.1.8.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2433-2433-1?view=html#nl.proc.ob.d.h-tk-20052006-2433-2433-1.1.8.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2433-2433-1.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye					Vaststelling van de begrotingsstaat van het Spaarfonds AOW voor het jaar 2006 ( 30300 E)
commons	2005-2006	35	2005-12-15	30300-A	49	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-A-49.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2434-2436.1.24.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2434-2436?view=html#nl.proc.ob.d.h-tk-20052006-2434-2436.1.24.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2434-2436.html	no	aye	aye	aye		aye	no		aye	aye		aye	aye	aye	no	Van der Ham	nl.m.02317			motie-Van der Ham (30300-A, nr. 49)
commons	2005-2006	35	2005-12-15	30300-A	37	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-A-37.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2434-2436.1.21.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2434-2436?view=html#nl.proc.ob.d.h-tk-20052006-2434-2436.1.21.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2434-2436.html	aye	aye	aye	no		aye	aye		no	aye		aye	aye	no	aye	Mastwijk	nl.m.02332			motie-Mastwijk c.s. (30300-A, nr. 37)
commons	2005-2006	35	2005-12-15	30300-A	34	motie	rejected	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-A-34.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2434-2436.1.18.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2434-2436?view=html#nl.proc.ob.d.h-tk-20052006-2434-2436.1.18.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2434-2436.html	no	no	no	no		no	aye		aye	aye		no	no	no	aye	Hofstra	nl.m.02566			motie-Hofstra (30300-A, nr. 34)
commons	2005-2006	35	2005-12-15	30300-A	48	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-A-48.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2434-2436.1.15.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2434-2436?view=html#nl.proc.ob.d.h-tk-20052006-2434-2436.1.15.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2434-2436.html	aye	aye	no	no		no	aye		aye	aye		no	aye	no	aye	Hofstra	nl.m.02566	Mastwijk	nl.m.02332	motie-Hofstra/Mastwijk (30300-A, nr. 48)
commons	2005-2006	35	2005-12-15	30300-A	32	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-A-32.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2434-2436.1.12.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2434-2436?view=html#nl.proc.ob.d.h-tk-20052006-2434-2436.1.12.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2434-2436.html	aye	aye	aye	no		aye	aye		no	aye		aye	aye	no	aye	Hofstra	nl.m.02566			motie-Hofstra (30300-A, nr. 32)
commons	2005-2006	35	2005-12-15	30300-A	31	motie	accepted	fractie	https://zoek.officielebekendmakingen.nl/kst-30300-A-31.html		http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2434-2436.1.9.1	http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20052006-2434-2436?view=html#nl.proc.ob.d.h-tk-20052006-2434-2436.1.9.1	https://zoek.officielebekendmakingen.nl/h-tk-20052006-2434-2436.html	aye	aye	aye	aye		aye	aye		aye	aye		aye	aye	aye	aye	Verdaas	nl.m.02466			motie-Verdaas c.s. (30300-A, nr. 31)
