#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.fractieyildirim;nl.p.gl;nl.p.lidverdonk;nl.p.osf;nl.p.pvda;nl.p.pvdd;nl.p.pvv;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2007-2008;15;2007-10-18;30452;24;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30452-24.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30452-24?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031.1.10.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031?view=html#nl.proc.ob.d.h-tk-20072008-1030-1031.1.10.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1030-1031.html;no;no;no;;aye;no;;no;aye;no;no;aye;no;Roemer;nl.m.03094;;;amendement-Roemer (stuk nr. 24)
commons;2007-2008;15;2007-10-18;30452;40;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30452-40.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30452-40?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031.1.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031?view=html#nl.proc.ob.d.h-tk-20072008-1030-1031.1.13.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1030-1031.html;no;aye;aye;;aye;no;;no;aye;no;no;aye;no;Roemer;nl.m.03094;;;amendement-Roemer (stuk nr. 40, I)
commons;2007-2008;15;2007-10-18;30452;42;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30452-42.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30452-42?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031.1.16.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031?view=html#nl.proc.ob.d.h-tk-20072008-1030-1031.1.16.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1030-1031.html;aye;aye;aye;;aye;aye;;aye;aye;no;aye;aye;aye;Haverkamp;nl.m.02397;Tang;nl.m.03085;amendement-Haverkamp/Tang (stuk nr. 42)
commons;2007-2008;15;2007-10-18;30452;38;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30452-38.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30452-38?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031.1.19.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031?view=html#nl.proc.ob.d.h-tk-20072008-1030-1031.1.19.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1030-1031.html;no;no;aye;;aye;no;;no;aye;no;no;aye;no;Duyvendak;nl.m.02307;;;amendement-Duyvendak (stuk nr. 38, II)
commons;2007-2008;15;2007-10-18;30452;21;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30452-21.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30452-21?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031.1.22.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031?view=html#nl.proc.ob.d.h-tk-20072008-1030-1031.1.22.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1030-1031.html;no;no;aye;;aye;no;;aye;aye;no;no;aye;no;Tang;nl.m.03085;;;amendement-Tang (stuk nr. 21)
commons;2007-2008;15;2007-10-18;30452;44;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30452-44.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30452-44?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031.1.25.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031?view=html#nl.proc.ob.d.h-tk-20072008-1030-1031.1.25.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1030-1031.html;aye;aye;no;;no;aye;;no;no;aye;aye;no;aye;Haverkamp;nl.m.02397;;;amendement-Haverkamp (stuk nr. 44)
commons;2007-2008;15;2007-10-18;30452;43;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-30452-43.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-30452-43?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031.1.28.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031?view=html#nl.proc.ob.d.h-tk-20072008-1030-1031.1.28.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1030-1031.html;aye;aye;aye;;aye;no;;aye;aye;no;aye;aye;no;Tang;nl.m.03085;Van der Staaij;nl.m.02252;amendement-Tang/Van der Staaij (stuk nr. 43, I)
commons;2007-2008;15;2007-10-18;30452;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/30452;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031.1.31.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031?view=html#nl.proc.ob.d.h-tk-20072008-1030-1031.1.31.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1030-1031.html;aye;aye;aye;;aye;aye;;aye;aye;no;aye;no;aye;;;;;Wijziging van de Wet luchtvaart inzake vernieuwing van de regelgeving voor burgerluchthavens en militaire luchthavens en de decentralisatie van bevoegdheden voor burgerluchthavens naar het provinciaal bestuur (Regelgeving burgerluchthavens en militaire luchthavens) ( 30452)
commons;2007-2008;15;2007-10-18;30452;29;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-30452-29.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031.1.34.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1030-1031?view=html#nl.proc.ob.d.h-tk-20072008-1030-1031.1.34.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1030-1031.html;no;no;aye;;aye;no;;no;aye;no;no;aye;no;Duyvendak;nl.m.02307;;;de motie-Duyvendak over het beleid ten aanzien van helikoptervluchten ( 30452, nr. 29)
commons;2007-2008;15;2007-10-18;31200-XIV;64;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-31200-XIV-64.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1032-1033.1.7.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20072008-1032-1033?view=html#nl.proc.ob.d.h-tk-20072008-1032-1033.1.7.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20072008-1032-1033.html;no;no;aye;;aye;no;;no;aye;aye;no;aye;no;Van Velzen;nl.m.02342;Thieme;nl.m.03100;motie-Van Velzen/Thieme (31200-XIV, nr. 64)
