#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.groepdejong2;nl.p.groepwijnschenk;nl.p.ln;nl.p.lpf;nl.p.osf;nl.p.pvda;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2002-2003;35;2002-12-18;28174;50;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28174-50.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28174-50?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2648-2650.1.24.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2648-2650?view=html#nl.proc.ob.d.h-tk-20022003-2648-2650.1.24.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2648-2650.html;aye;aye;aye;aye;no;no;no;aye;;aye;aye;aye;no;Giskes;nl.m.02516;;;amendement-Giskes (stuk nr. 50, I)
commons;2002-2003;35;2002-12-18;28174;46;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28174-46.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28174-46?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2648-2650.1.21.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2648-2650?view=html#nl.proc.ob.d.h-tk-20022003-2648-2650.1.21.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2648-2650.html;aye;no;no;no;no;no;aye;aye;;no;aye;aye;aye;Kortenhorst;nl.m.02325;;;amendement-Kortenhorst c.s. (stuk nr. 46, IA)
commons;2002-2003;35;2002-12-18;28174;53;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28174-53.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28174-53?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2648-2650.1.16.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2648-2650?view=html#nl.proc.ob.d.h-tk-20022003-2648-2650.1.16.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2648-2650.html;aye;aye;aye;aye;no;no;aye;aye;;aye;aye;aye;no;Kortenhorst;nl.m.02325;;;amendement-Kortenhorst c.s. (stuk nr. 53, I)
commons;2002-2003;35;2002-12-18;28174;52;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28174-52.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28174-52?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2648-2650.1.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2648-2650?view=html#nl.proc.ob.d.h-tk-20022003-2648-2650.1.13.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2648-2650.html;aye;aye;aye;aye;no;no;aye;aye;;aye;aye;aye;no;Kortenhorst;nl.m.02325;;;amendement-Kortenhorst c.s. (stuk nr. 52, I)
commons;2002-2003;35;2002-12-18;28174;40;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28174-40.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28174-40?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2648-2650.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2648-2650?view=html#nl.proc.ob.d.h-tk-20022003-2648-2650.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2648-2650.html;aye;aye;no;aye;no;no;aye;aye;;aye;aye;aye;no;Kortenhorst;nl.m.02325;;;amendement-Kortenhorst c.s. (stuk nr. 40)
commons;2002-2003;35;2002-12-18;28665;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/28665;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648.1.76.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648?view=html#nl.proc.ob.d.h-tk-20022003-2647-2648.1.76.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2647-2648.html;aye;aye;aye;aye;aye;aye;aye;aye;;aye;aye;aye;aye;;;;;Wijziging van de Elektriciteitswet 1998 ten behoeve van de stimulering van de milieukwaliteit van de elektriciteitsproductie ( 28665)
commons;2002-2003;35;2002-12-18;28665;17;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28665-17.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648.1.69.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648?view=html#nl.proc.ob.d.h-tk-20022003-2647-2648.1.69.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2647-2648.html;aye;aye;no;aye;no;no;aye;aye;;aye;aye;aye;aye;Kortenhorst;nl.m.02325;;;amendement-Kortenhorst (stuk nr. 17, herdruk)
commons;2002-2003;35;2002-12-18;28665;18;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28665-18.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28665-18?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648.1.63.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648?view=html#nl.proc.ob.d.h-tk-20022003-2647-2648.1.63.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2647-2648.html;aye;aye;no;aye;no;no;aye;aye;;aye;aye;aye;aye;Kortenhorst;nl.m.02325;;;amendement-Kortenhorst (stuk nr. 18)
commons;2002-2003;35;2002-12-18;28665;26;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28665-26.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28665-26?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648.1.56.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2647-2648?view=html#nl.proc.ob.d.h-tk-20022003-2647-2648.1.56.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2647-2648.html;no;no;no;aye;no;no;no;no;;aye;no;aye;no;Duyvendak;nl.m.02307;Vendrik;nl.m.02245;amendement-Duyvendak/Vendrik (stuk nr. 26, IV)
commons;2002-2003;35;2002-12-18;28600;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/28600;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2653-2653.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20022003-2653-2653?view=html#nl.proc.ob.d.h-tk-20022003-2653-2653.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20022003-2653-2653.html;aye;aye;aye;aye;aye;aye;aye;aye;;aye;aye;aye;aye;;;;;Vaststelling van de begrotingsstaat van het Spaarfonds AOW voor het jaar 2003 ( 28600 E)
