#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.aov;nl.p.cd;nl.p.cda;nl.p.d66;nl.p.fractiebierman;nl.p.fractiehendriks;nl.p.gl;nl.p.gpv;nl.p.groephendriks;nl.p.groepnijpels;nl.p.groepverkerk;nl.p.ou55plus;nl.p.pvda;nl.p.rpf;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;1994-1995;37;1994-12-20;24032;3;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-24032-3.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2582-2582-2.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2582-2582-2?view=html#nl.proc.ob.d.h-tk-19941995-37-2582-2582-2.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2582-2582-2.html;aye;aye;aye;aye;;;aye;aye;aye;;;aye;aye;aye;aye;aye;no;Smits;nl.m.02821;;;motie-Smits (24032, nr. 3)
commons;1994-1995;37;1994-12-20;24032;1;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-24032-1.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2582-2582-2.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2582-2582-2?view=html#nl.proc.ob.d.h-tk-19941995-37-2582-2582-2.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2582-2582-2.html;aye;aye;aye;no;;;aye;aye;aye;;;aye;aye;aye;aye;aye;no;Schutte;nl.m.02676;;;de motie-Schutte over een beleidsnota inzake kansspelen ( 24032, nr. 1)
commons;1994-1995;37;1994-12-20;23900-VI;8;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-VI-8.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2582-2582-1.1.8.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2582-2582-1?view=html#nl.proc.ob.d.h-tk-19941995-37-2582-2582-1.1.8.4.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2582-2582-1.html;aye;aye;aye;no;;;no;no;aye;;;aye;no;aye;aye;no;no;Koekkoek;nl.m.02524;;;de motie-Koekkoek over de afdoening van vóór 1 januari 1994 ingediende asielverzoeken ( 23900-VI, nr. 8)
commons;1994-1995;37;1994-12-20;23900;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/23900;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2581-2582.1.7.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2581-2582?view=html#nl.proc.ob.d.h-tk-19941995-37-2581-2582.1.7.9.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2581-2582.html;aye;aye;aye;aye;;;aye;aye;aye;;;aye;aye;aye;aye;aye;aye;;;;;Vaststelling van de begroting van de uitgaven en de ontvangsten van het Ministerie van Justitie (VI) voor het jaar 1995 ( 23900-VI)
commons;1994-1995;37;1994-12-20;23900-XV;31;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-XV-31.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.41.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2580-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2580-2581.1.41.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2580-2581.html;no;no;no;no;;;aye;no;no;;;no;no;no;no;aye;no;Marijnissen;nl.m.02529;;;de motie-Marijnissen over het voornemen om delen van CAO's niet langer algemeen verbindend te verklaren ( 23900-XV, nr. 31)
commons;1994-1995;37;1994-12-20;23900-VII en -VI;21;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-VII en -VI-21.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2581-2581.1.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2581-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2581-2581.1.15.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2581-2581.html;aye;no;aye;aye;;;aye;aye;aye;;;aye;aye;no;no;aye;aye;Korthals;nl.m.02738;;;de motie-Korthals c.s. over het aantal vrouwen in actieve dienst ( 23900-VII en -VI, nr. 21)
commons;1994-1995;37;1994-12-20;23900-VII en -VI;22;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-VII en -VI-22.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2581-2581.1.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2581-2581?view=html#nl.proc.ob.d.h-tk-19941995-37-2581-2581.1.18.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2581-2581.html;aye;aye;aye;aye;;;aye;aye;aye;;;aye;aye;aye;aye;aye;aye;Scheltema-de Nie;nl.m.02982;;;de motie-Scheltema-de Nie over de normvergoeding ( 23900-VII en -VI, nr. 22)
commons;1994-1995;37;1994-12-20;23900;6;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-6.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2581-2582.1.7.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-37-2581-2582?view=html#nl.proc.ob.d.h-tk-19941995-37-2581-2582.1.7.4.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-37-2581-2582.html;aye;aye;aye;no;;;no;no;aye;;;aye;no;no;no;no;no;Koekkoek;nl.m.02524;;;amendement-Koekkoek (stuk nr. 6)
commons;1994-1995;38;1994-12-21;23900;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/23900;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-38-2686-2687.1.16.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-38-2686-2687?view=html#nl.proc.ob.d.h-tk-19941995-38-2686-2687.1.16.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-38-2686-2687.html;aye;aye;aye;aye;;;aye;aye;aye;;;aye;aye;aye;aye;aye;aye;;;;;Vaststelling van de begroting van de uitgaven en de ontvangsten van het ministerie van Binnenlandse Zaken (VII) voor het jaar 1995 ( 23900-VII)
commons;1994-1995;38;1994-12-21;23900;26;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-23900-26.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-38-2686-2687.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19941995-38-2686-2687?view=html#nl.proc.ob.d.h-tk-19941995-38-2686-2687.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-19941995-38-2686-2687.html;;;;;;;;;;;;;;;;;;Van der Hoeven;nl.m.02880;;;amendement-Van der Hoeven c.s. (stuk nr. 26, I)
