#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.aov;nl.p.cda;nl.p.d66;nl.p.fractiebierman;nl.p.gl;nl.p.gpv;nl.p.pvda;nl.p.rpf;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;1998-1999;76;1999-04-29;25834;12;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25834-12.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4461-4461.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4461-4461?view=html#nl.proc.ob.d.h-tk-19981999-4461-4461.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-4461-4461.html;;no;no;;aye;no;no;no;no;aye;no;De Wit;nl.m.02940;;;de motie-De Wit over verhoging van de tegemoetkoming aan asbestslachtoffers naar ƒ 90.000 ( 25834, nr. 12)
commons;1998-1999;76;1999-04-29;25834;13;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25834-13.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4461-4461.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4461-4461?view=html#nl.proc.ob.d.h-tk-19981999-4461-4461.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-4461-4461.html;;no;no;;aye;aye;no;aye;no;aye;no;De Wit;nl.m.02940;;;de motie-De Wit over de peildatum voor de Regeling tegemoetkoming asbestslachtoffers ( 25834, nr. 13)
commons;1998-1999;76;1999-04-29;25834;15;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-25834-15.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4461-4461.1.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4461-4461?view=html#nl.proc.ob.d.h-tk-19981999-4461-4461.1.15.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-4461-4461.html;;aye;aye;;aye;no;aye;no;no;aye;no;Middel;nl.m.02987;Schimmel;nl.m.02983;de motie-Middel/Schimmel over voorstellen om de ongelijkheid in financiële behandeling tussen asbestslachtoffers weg te nemen ( 25834, nr. 15)
commons;1998-1999;76;1999-04-29;25834;14;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-25834-14.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4461-4461.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4461-4461?view=html#nl.proc.ob.d.h-tk-19981999-4461-4461.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-4461-4461.html;;aye;no;;aye;no;no;no;no;aye;no;Stroeken;nl.m.02243;;;de motie-Stroeken over substantiële verhoging van de tegemoetkoming aan asbestslachtoffers ( 25834, nr. 14)
commons;1998-1999;76;1999-04-29;26497;2;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26497-2.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4459-4459.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4459-4459?view=html#nl.proc.ob.d.h-tk-19981999-4459-4459.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-4459-4459.html;;aye;no;;aye;aye;no;aye;aye;aye;no;Karimi;nl.m.02255;;;de motie-Karimi over het budget voor opvang van asielzoekers ( 26497, nr. 2)
commons;1998-1999;76;1999-04-29;26497;1;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26497-1.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4459-4459.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4459-4459?view=html#nl.proc.ob.d.h-tk-19981999-4459-4459.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-4459-4459.html;;aye;no;;aye;aye;no;aye;aye;aye;no;Van Ardenne-van der Hoeven;nl.m.02501;;;de motie-Van Ardenne-van der Hoeven over 0,8% BNP voor zuivere ODA-hulp ( 26497, nr. 1)
commons;1998-1999;76;1999-04-29;26418;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/26418;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4459-4459-2.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4459-4459-2?view=html#nl.proc.ob.d.h-tk-19981999-4459-4459-2.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-4459-4459-2.html;;aye;aye;;no;aye;aye;aye;aye;no;aye;;;;;Wijziging van de Wet op het hoger onderwijs en wetenschappelijk onderzoek houdende indexering van het collegegeld ( 26418)
commons;1998-1999;76;1999-04-29;26079;7;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26079-7.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-26079-7?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4457-4458.1.5.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4457-4458?view=html#nl.proc.ob.d.h-tk-19981999-4457-4458.1.5.4.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-4457-4458.html;;aye;aye;;aye;aye;aye;aye;no;aye;no;Schimmel;nl.m.02983;;;amendement-Schimmel (stuk nr. 7, I)
commons;1998-1999;76;1999-04-29;26079;19;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26079-19.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-26079-19?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4457-4458.1.5.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4457-4458?view=html#nl.proc.ob.d.h-tk-19981999-4457-4458.1.5.7.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-4457-4458.html;;no;no;;aye;no;no;no;no;aye;no;Van Gent;nl.m.02218;;;amendement-Van Gent (stuk nr. 19, I)
commons;1998-1999;76;1999-04-29;26079;13;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26079-13.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-26079-13?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4457-4458.1.5.11.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19981999-4457-4458?view=html#nl.proc.ob.d.h-tk-19981999-4457-4458.1.5.11.1;https://zoek.officielebekendmakingen.nl/h-tk-19981999-4457-4458.html;;no;no;;aye;no;no;no;no;aye;no;Van Gent;nl.m.02218;;;amendement-Van Gent (stuk nr. 13)
