#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.50plus;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.fractieyildirim;nl.p.gl;nl.p.osf;nl.p.pvda;nl.p.pvdd;nl.p.pvv;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2010-2011;98;2011-06-28;27428;198;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27428-198.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-24.1.30.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-24?view=html#nl.proc.ob.d.h-tk-20102011-98-24.1.30.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-24.html;;aye;aye;aye;;aye;;aye;aye;no;aye;aye;aye;Ormel;nl.m.02368;;;de motie-Ormel c.s. over onafhankelijke voorzitter ( 27428, nr. 198) 
commons;2010-2011;98;2011-06-28;27428;199;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27428-199.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-24.1.33.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-24?view=html#nl.proc.ob.d.h-tk-20102011-98-24.1.33.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-24.html;;aye;no;aye;;no;;aye;no;no;no;no;aye;Ormel;nl.m.02368;;;de motie-Ormel over een Europese onderbouwingsprocedure ( 27428, nr. 199).
commons;2010-2011;98;2011-06-28;32393;11;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-32393-11.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-11.1.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-11?view=html#nl.proc.ob.d.h-tk-20102011-98-11.1.13.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-11.html;;no;aye;no;;aye;;aye;aye;no;no;aye;no;Leijten;nl.m.03095;Van Gerven;nl.m.03116;de motie-Leijten/Van Gerven over het bekostigingssysteem ziekenhuizen ( 32393, nr.11).
commons;2010-2011;98;2011-06-28;32393;10;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-32393-10.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-11.1.10.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-11?view=html#nl.proc.ob.d.h-tk-20102011-98-11.1.10.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-11.html;;no;no;no;;aye;;aye;aye;no;no;aye;no;Leijten;nl.m.03095;Van Gerven;nl.m.03116;de motie-Leijten/Van Gerven over het Budgettair Kader Zorg ( 32393, nr. 10) 
commons;2010-2011;98;2011-06-28;29509;42;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-29509-42.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-12.1.27.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-12?view=html#nl.proc.ob.d.h-tk-20102011-98-12.1.27.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-12.html;;aye;aye;aye;;aye;;aye;aye;no;aye;aye;no;Van der Staaij;nl.m.02252;Wiegman van Meppelen Scheppink;nl.m.03125;de motie-Van der Staaij/Wiegman van Meppelen Scheppink over ontwikkeling van een eenduidig model ( 29509, nr. 42).
commons;2010-2011;98;2011-06-28;23645;474;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23645-474.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-35.1.24.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-35?view=html#nl.proc.ob.d.h-tk-20102011-98-35.1.24.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-35.html;;no;aye;no;;aye;;aye;aye;no;no;aye;no;Monasch;nl.m.03246;;;motie-Monasch c.s. ( 23645, nr. 474)
commons;2010-2011;98;2011-06-28;23645;467;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23645-467.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-35.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-35?view=html#nl.proc.ob.d.h-tk-20102011-98-35.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-35.html;;no;aye;aye;;aye;;aye;aye;no;no;aye;no;Bashir;nl.m.03149;;;de motie-Bashir c.s. over alternatieven voor de bezuinigingen ( 23645, nr. 467) 
commons;2010-2011;98;2011-06-28;23645;466;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23645-466.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-35.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-35?view=html#nl.proc.ob.d.h-tk-20102011-98-35.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-35.html;;no;aye;aye;;aye;;aye;aye;no;no;aye;no;Bashir;nl.m.03149;;;de motie-Bashir c.s. over de stadsregio's Amsterdam, Rotterdam en Den Haag ( 23645, nr. 466) 
commons;2010-2011;98;2011-06-28;23645;465;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-23645-465.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-35.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-35?view=html#nl.proc.ob.d.h-tk-20102011-98-35.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-35.html;;no;aye;aye;;aye;;aye;aye;no;no;aye;no;Bashir;nl.m.03149;;;de motie-Bashir c.s. over maatregelen die leiden tot minder openbaar vervoer ( 23645, nr. 465) 
commons;2010-2011;98;2011-06-28;32696;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/32696;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-21.1.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20102011-98-21?view=html#nl.proc.ob.d.h-tk-20102011-98-21.1.4.1;https://zoek.officielebekendmakingen.nl/h-tk-20102011-98-21.html;;aye;aye;aye;;aye;;aye;aye;aye;aye;aye;aye;;;;;Aan de orde zijn de stemmingenin verband met het wetsvoorstel Opheffing van het Spaarfonds AOW (32696),
