#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.ln;nl.p.lpf;nl.p.osf;nl.p.pvda;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2001-2002;39;2001-12-20;27728;41;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27728-41.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.82.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938?view=html#nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.82.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2936-2938.html;aye;aye;aye;aye;;;;aye;aye;aye;aye;Smits;nl.m.02240;;;de motie-Smits c.s. over belemmeringen voor toelating van gehandicapte leerlingen ( 27728, nr. 41)
commons;2001-2002;39;2001-12-20;27728;42;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27728-42.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.85.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938?view=html#nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.85.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2936-2938.html;aye;aye;no;aye;;;;aye;aye;aye;no;Slob;nl.m.01639;;;de motie-Slob c.s. over financiering van de activiteiten van het REC ( 27728, nr. 42)
commons;2001-2002;39;2001-12-20;27728;43;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27728-43.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.88.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938?view=html#nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.88.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2936-2938.html;aye;aye;aye;aye;;;;aye;aye;aye;aye;Rijpstra;nl.m.02539;;;de motie-Rijpstra c.s. over een voortgangsrapportage invoering leerlinggebonden financiering ( 27728, nr. 43)
commons;2001-2002;39;2001-12-20;27728;44;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27728-44.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.91.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938?view=html#nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.91.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2936-2938.html;aye;aye;aye;aye;;;;aye;aye;aye;aye;Rijpstra;nl.m.02539;;;de motie-Rijpstra c.s. over één loket voor indicering ( 27728, nr. 44)
commons;2001-2002;39;2001-12-20;27728;45;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27728-45.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.94.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938?view=html#nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.94.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2936-2938.html;aye;aye;aye;aye;;;;aye;aye;aye;aye;Rijpstra;nl.m.02539;;;de motie-Rijpstra c.s. over een systeem van verstrekkingen ( 27728, nr. 45)
commons;2001-2002;39;2001-12-20;27728;46;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27728-46.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.97.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938?view=html#nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.97.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2936-2938.html;aye;aye;aye;aye;;;;no;aye;aye;no;Lambrechts;nl.m.02526;Ross-van Dorp;nl.m.02238;de motie-Lambrechts/Ross-van Dorp over het nevenvestigingenbeleid ( 27728, nr. 46)
commons;2001-2002;39;2001-12-20;27728;47;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27728-47.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.100.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938?view=html#nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.100.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2936-2938.html;aye;no;no;aye;;;;aye;no;aye;aye;Rabbae;nl.m.02537;;;de motie-Rabbae c.s. over plaatsing van gehandicapte leerlingen ( 27728, nr. 47)
commons;2001-2002;39;2001-12-20;27728;48;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27728-48.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.103.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2936-2938?view=html#nl.proc.ob.d.h-tk-20012002-2936-2938.1.7.103.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2936-2938.html;no;no;no;aye;;;;aye;no;aye;aye;Rabbae;nl.m.02537;;;de motie-Rabbae c.s. over nood- en tussenvoorzieningen ( 27728, nr. 48)
commons;2001-2002;39;2001-12-20;28000-XVI;62;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28000-XVI-62.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2933-2935.1.10.54.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2933-2935?view=html#nl.proc.ob.d.h-tk-20012002-2933-2935.1.10.54.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2933-2935.html;aye;aye;aye;aye;;;;aye;aye;aye;aye;Van Vliet;nl.m.02562;;;motie-Van Vliet c.s. (28000-XVI, nr. 62)
commons;2001-2002;39;2001-12-20;28000-XVI;61;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28000-XVI-61.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2933-2935.1.10.51.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20012002-2933-2935?view=html#nl.proc.ob.d.h-tk-20012002-2933-2935.1.10.51.1;https://zoek.officielebekendmakingen.nl/h-tk-20012002-2933-2935.html;aye;aye;aye;aye;;;;aye;aye;aye;aye;Van Vliet;nl.m.02562;;;motie-Van Vliet c.s. (28000-XVI, nr. 61)
