#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.groeplazrak;nl.p.groepwilders;nl.p.lpf;nl.p.osf;nl.p.pvda;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2003-2004;4;2003-09-23;28762;14;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28762-14.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-180.1.29.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-180?view=html#nl.proc.ob.d.h-tk-20032004-178-180.1.29.7.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-178-180.html;no;no;no;aye;;;no;;no;no;aye;no;Vergeer;nl.m.02344;;;de motie-Vergeer over bescherming van het budget voor onderwijs(ondersteunend) personeel ( 28762, nr. 14)
commons;2003-2004;4;2003-09-23;28762;15;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28762-15.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-180.1.29.10.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-180?view=html#nl.proc.ob.d.h-tk-20032004-178-180.1.29.10.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-178-180.html;aye;aye;aye;aye;;;aye;;aye;aye;aye;no;Lambrechts;nl.m.02526;;;de motie-Lambrechts c.s. over informatie over de pilots lumpsum ( 28762, nr. 15)
commons;2003-2004;4;2003-09-23;28762;16;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28762-16.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-180.1.29.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-180?view=html#nl.proc.ob.d.h-tk-20032004-178-180.1.29.13.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-178-180.html;aye;aye;aye;aye;;;aye;;aye;aye;aye;no;Hamer;nl.m.02221;;;de motie-Hamer c.s. over nadelige herverdelingseffecten ( 28762, nr. 16)
commons;2003-2004;4;2003-09-23;28762;17;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28762-17.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-180.1.29.16.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-180?view=html#nl.proc.ob.d.h-tk-20032004-178-180.1.29.16.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-178-180.html;no;no;no;no;;;aye;;aye;no;aye;no;Kraneveldt;nl.m.02455;;;de motie-Kraneveldt over het representatief zijn van lumpsumpilots ( 28762, nr. 17)
commons;2003-2004;4;2003-09-23;28762;11;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28762-11.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28762-11?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-180.1.24.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-180?view=html#nl.proc.ob.d.h-tk-20032004-178-180.1.24.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-178-180.html;no;no;no;aye;;;no;;no;no;aye;no;Vergeer;nl.m.02344;;;amendement-Vergeer (stuk nr. 11)
commons;2003-2004;4;2003-09-23;28762;18;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28762-18.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-180.1.29.19.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-180?view=html#nl.proc.ob.d.h-tk-20032004-178-180.1.29.19.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-178-180.html;no;no;no;aye;;;aye;;aye;no;aye;no;Kraneveldt;nl.m.02455;Vergeer;nl.m.02344;de motie-Kraneveldt/Vergeer over slagingscriteria voor de pilots ( 28762, nr. 18)
commons;2003-2004;4;2003-09-23;28170;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/28170;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-178.1.26.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-178?view=html#nl.proc.ob.d.h-tk-20032004-178-178.1.26.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-178-178.html;aye;aye;aye;aye;;;aye;;aye;aye;aye;aye;;;;;Gelijke behandeling op grond van leeftijd bij arbeid, beroep en beroepsonderwijs (Wet gelijke behandeling op grond van leeftijd bij de arbeid) ( 28170)
commons;2003-2004;4;2003-09-23;28170;22;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-28170-22.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28170-22?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-178.1.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-178?view=html#nl.proc.ob.d.h-tk-20032004-178-178.1.18.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-178-178.html;no;aye;aye;aye;;;no;;aye;aye;aye;aye;Bussemaker;nl.m.02251;Weekers;nl.m.02247;amendement-Bussemaker/Weekers (stuk nr. 22, I)
commons;2003-2004;4;2003-09-23;;;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-178.1.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-178?view=html#nl.proc.ob.d.h-tk-20032004-178-178.1.15.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-178-178.html;aye;aye;aye;aye;;;aye;;aye;aye;aye;aye;Weekers(stuk nr. 17, I).Gelijke behandeling op grond van leeftijd bij arbeid, beroep en beroepsonderwijs;;;;Gelijke behandeling op grond van leeftijd bij arbeid, beroep en beroepsonderwijs (Wet gelijke behandeling op grond van leeftijd bij de arbeid) ( 28170)
commons;2003-2004;4;2003-09-23;28170;21;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-28170-21.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-28170-21?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-178.1.10.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20032004-178-178?view=html#nl.proc.ob.d.h-tk-20032004-178-178.1.10.1;https://zoek.officielebekendmakingen.nl/h-tk-20032004-178-178.html;aye;no;no;no;;;aye;;no;no;no;no;Vietsch;nl.m.02372;;;amendement-Vietsch (stuk nr. 21)
