#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.d66;nl.p.gl;nl.p.gpv;nl.p.osf;nl.p.pvda;nl.p.rpf;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;1999-2000;27;1999-11-25;26707;13;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26707-13.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2057-2057.1.8.10.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2057-2057?view=html#nl.proc.ob.d.h-tk-19992000-2057-2057.1.8.10.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2057-2057.html;aye;no;no;aye;;no;aye;aye;no;no;Atsma;nl.m.02204;;;de motie-Atsma over handhaving van het inkomensonafhankelijke karakter van de omroepbijdrage ( 26707, nr. 13)
commons;1999-2000;27;1999-11-25;26707;14;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26707-14.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2057-2057.1.8.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2057-2057?view=html#nl.proc.ob.d.h-tk-19992000-2057-2057.1.8.13.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2057-2057.html;aye;no;no;aye;;no;aye;aye;no;no;Van der Vlies;nl.m.02682;;;de motie-Van der Vlies over een onderzoek naar een voorziening voor groepen personen die konden worden ontheven van de verschuldigdheid van de omroepbijdrage ( 26707, nr. 14)
commons;1999-2000;27;1999-11-25;26707;15;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26707-15.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2057-2057.1.8.16.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2057-2057?view=html#nl.proc.ob.d.h-tk-19992000-2057-2057.1.8.16.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2057-2057.html;aye;aye;aye;aye;;aye;aye;aye;aye;no;Van Zuijlen;nl.m.02555;Atsma;nl.m.02204;de motie-Van Zuijlen/Atsma over de positie van de publieke lokale en regionale omroepen ( 26707, nr. 15)
commons;1999-2000;27;1999-11-25;26707;17;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26707-17.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2057-2057.1.8.19.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2057-2057?view=html#nl.proc.ob.d.h-tk-19992000-2057-2057.1.8.19.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2057-2057.html;aye;aye;aye;aye;;aye;aye;aye;aye;no;Stellingwerf;nl.m.02544;;;de motie-Stellingwerf over het tijdelijk oormerken van de rijksbijdrage ( 26707, nr. 17)
commons;1999-2000;27;1999-11-25;26707;18;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26707-18.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2057-2057.1.8.22.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2057-2057?view=html#nl.proc.ob.d.h-tk-19992000-2057-2057.1.8.22.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2057-2057.html;no;aye;aye;no;;no;no;no;no;no;Halsema;nl.m.02220;;;de motie-Halsema over uitkering van de rijksomroepbijdrage door het Commissariaat voor de media ( 26707, nr. 18)
commons;1999-2000;27;1999-11-25;26820;14;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26820-14.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-26820-14?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2057-2058.1.7.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2057-2058?view=html#nl.proc.ob.d.h-tk-19992000-2057-2058.1.7.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2057-2058.html;aye;no;no;no;;no;no;aye;aye;no;Reitsma;nl.m.02824;;;amendement-Reitsma (stuk nr. 14, IA)
commons;1999-2000;27;1999-11-25;26820;24;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26820-24.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-26820-24?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2057-2058.1.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2057-2058?view=html#nl.proc.ob.d.h-tk-19992000-2057-2058.1.13.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2057-2058.html;no;no;aye;no;;no;no;no;aye;no;Vendrik;nl.m.02245;;;amendement-Vendrik (stuk nr. 24, IA)
commons;1999-2000;28;1999-11-30;26800-VIII;51;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26800-VIII-51.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2083-2084.1.13.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2083-2084?view=html#nl.proc.ob.d.h-tk-19992000-2083-2084.1.13.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2083-2084.html;aye;aye;aye;aye;;aye;aye;aye;aye;aye;Ross-van Dorp;nl.m.02238;;;motie-Ross-van Dorp c.s. (26800-VIII, nr. 51)
commons;1999-2000;28;1999-11-30;26800-VIII;52;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26800-VIII-52.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2083-2084.1.16.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2083-2084?view=html#nl.proc.ob.d.h-tk-19992000-2083-2084.1.16.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2083-2084.html;aye;aye;aye;no;;aye;no;no;aye;no;Kortram;nl.m.02228;;;motie-Kortram c.s. (26800-VIII, nr. 52)
commons;1999-2000;28;1999-11-30;26800-VIII;53;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-26800-VIII-53.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2083-2084.1.19.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-19992000-2083-2084?view=html#nl.proc.ob.d.h-tk-19992000-2083-2084.1.19.1;https://zoek.officielebekendmakingen.nl/h-tk-19992000-2083-2084.html;aye;aye;aye;aye;;aye;aye;aye;aye;aye;Lambrechts;nl.m.02526;;;motie-Lambrechts c.s. (26800-VIII, nr. 53)
