#house;legislative-period;session-number;date of vote;dossier nummer;onder nummer;type;outcome;stemmings type;bron amendement op OB;link amendement HTML op PM;link stemming XML op PM;link stemming in context HTML op PM;bron stemming op OB;nl.p.cda;nl.p.cu;nl.p.d66;nl.p.gl;nl.p.gpv;nl.p.osf;nl.p.pvda;nl.p.rpf;nl.p.sgp;nl.p.sp;nl.p.vvd;indiener 1, naam volgens stemming;indiener 1, id volgens stemming;indiener 2, naam volgens stemming;indiener 2, id volgens stemming;titel document volgens stemming
commons;2000-2001;96;2001-07-05;27753;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/27753;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6062-6062-5.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6062-6062-5?view=html#nl.proc.ob.d.h-tk-20002001-6062-6062-5.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6062-6062-5.html;aye;aye;aye;aye;;;aye;;aye;aye;aye;;;;;Wijziging van de begroting van de uitgaven en de ontvangsten van het Ministerie van Verkeer en Waterstaat (XII) voor het jaar 2001 (wijziging samenhangende met de Voorjaarsnota) ( 27753)
commons;2000-2001;96;2001-07-05;27754;6;amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27754-6.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-27754-6?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6062-6063.1.6.4.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6062-6063?view=html#nl.proc.ob.d.h-tk-20002001-6062-6063.1.6.4.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6062-6063.html;no;aye;aye;aye;;;aye;;aye;aye;no;Dijsselbloem;nl.m.02200;;;amendement-Dijsselbloem c.s. (stuk nr. 6, I)
commons;2000-2001;96;2001-07-05;27754;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/27754;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6062-6063.1.7.5.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6062-6063?view=html#nl.proc.ob.d.h-tk-20002001-6062-6063.1.7.5.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6062-6063.html;aye;aye;aye;aye;;;aye;;aye;aye;aye;;;;;Wijziging van de begroting van de uitgaven en de ontvangsten van het Infrastructuurfonds voor het jaar 2001 (wijziging samenhangende met de Voorjaarsnota) ( 27754)
commons;2000-2001;96;2001-07-05;27756;;wetsvoorstel;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/27756;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6063-6063-1.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6063-6063-1?view=html#nl.proc.ob.d.h-tk-20002001-6063-6063-1.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6063-6063-1.html;aye;aye;aye;aye;;;aye;;aye;aye;aye;;;;;Wijziging van de begroting van de uitgaven en de ontvangsten van de Nationale Schuld (IXA) voor het jaar 2001 (wijziging samenhangende met de Voorjaarsnota) ( 27756)
commons;2000-2001;96;2001-07-05;26294;22:,I);amendement;accepted;fractie;https://zoek.officielebekendmakingen.nl/dossier/26294;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062.1.43.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062?view=html#nl.proc.ob.d.h-tk-20002001-6060-6062.1.43.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6060-6062.html;no;aye;aye;aye;;;aye;;aye;aye;no;Van Oven;nl.m.02534;Halsema;nl.m.02220;amendement-Van Oven/Halsema (stuk nr. 22, I)
commons;2000-2001;96;2001-07-05;;;unknown;rejected;fractie;https://zoek.officielebekendmakingen.nl/dossier/;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062.1.38.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062?view=html#nl.proc.ob.d.h-tk-20002001-6060-6062.1.38.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6060-6062.html;aye;aye;aye;no;;;no;;aye;no;no;;;;;Wijziging van het Wetboek van Strafrecht en het Wetboek van Strafvordering met betrekking tot verklaringen van getuigen die in ruil voor een toezegging van het openbaar ministerie zijn afgelegd (toezeggingen aan getuigen in strafzaken) ( 26294)
commons;2000-2001;96;2001-07-05;26294;10;amendement;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-26294-10.html;http://resolver.politicalmashup.nl/nl.parldoc.d.kst-26294-10?view=html;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062.1.35.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6060-6062?view=html#nl.proc.ob.d.h-tk-20002001-6060-6062.1.35.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6060-6062.html;no;aye;aye;aye;;;no;;no;aye;no;Dittrich;nl.m.02512;;;amendement-Dittrich (stuk nr. 10)
commons;2000-2001;96;2001-07-05;27250;47;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27250-47.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6059-6059.1.10.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6059-6059?view=html#nl.proc.ob.d.h-tk-20002001-6059-6059.1.10.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6059-6059.html;aye;no;no;aye;;;no;;aye;aye;no;M.B. Vos;nl.m.02547;Van den Akker;nl.m.02201;de motie-M.B. Vos/Van den Akker over de tweejaarlijkse rapportage ( 27250, nr. 47)
commons;2000-2001;96;2001-07-05;27734;4;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27734-4.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6059-6060.1.6.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6059-6060?view=html#nl.proc.ob.d.h-tk-20002001-6059-6060.1.6.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6059-6060.html;aye;no;aye;aye;;;aye;;no;aye;aye;Crone;nl.m.02507;Van Walsem;nl.m.02564;de motie-Crone/Van Walsem over de "verjaardagsloterij" ( 27734, nr. 4)
commons;2000-2001;96;2001-07-05;27734;6;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27734-6.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6059-6060.1.9.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6059-6060?view=html#nl.proc.ob.d.h-tk-20002001-6059-6060.1.9.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6059-6060.html;aye;aye;no;aye;;;no;;aye;aye;no;Van Dijke;nl.m.02509;;;de motie-Van Dijke over de MKZ-crisis ( 27734, nr. 6)
commons;2000-2001;96;2001-07-05;27734;7;motie;rejected;fractie;https://zoek.officielebekendmakingen.nl/kst-27734-7.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6059-6060.1.12.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6059-6060?view=html#nl.proc.ob.d.h-tk-20002001-6059-6060.1.12.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6059-6060.html;no;no;no;aye;;;no;;no;aye;no;Marijnissen;nl.m.02529;;;de motie-Marijnissen over terugdringing van de armoede ( 27734, nr. 7)
commons;2000-2001;96;2001-07-05;27734;8;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27734-8.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6059-6060.1.15.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6059-6060?view=html#nl.proc.ob.d.h-tk-20002001-6059-6060.1.15.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6059-6060.html;aye;aye;aye;aye;;;aye;;aye;aye;no;Van Walsem;nl.m.02564;;;de motie-Van Walsem c.s. over natuurbeleid en natuuroffensief ( 27734, nr. 8)
commons;2000-2001;96;2001-07-05;27734;9;motie;accepted;fractie;https://zoek.officielebekendmakingen.nl/kst-27734-9.html;;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6059-6060.1.18.1;http://resolver.politicalmashup.nl/nl.proc.ob.d.h-tk-20002001-6059-6060?view=html#nl.proc.ob.d.h-tk-20002001-6059-6060.1.18.1;https://zoek.officielebekendmakingen.nl/h-tk-20002001-6059-6060.html;aye;aye;aye;aye;;;aye;;aye;aye;no;Rosenmöller;nl.m.02970;;;de motie-Rosenmöller over topinkomens in de (semi-)publieke sector ( 27734, nr. 9)
